acc_num,seq_len,description,record_date,organism,segment_source,cds,host,isolate_source,isolate_name,country_region,collection_date,e_value,pcnt_id,align_len
FJ435409.1,408,"Crimean-Congo hemorrhagic fever virus isolate SPU 498/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 498/88,South Africa,1988,7.63825e-54,78.02197802197803,91
FJ435408.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 246/02/20 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 246/02/20,Pakistan,2002,1.4933e-61,91.20879120879121,91
FJ435407.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 536/86 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 536/86,Namibia,1986,1.4933e-61,91.20879120879121,91
FJ435406.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 415/85 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 415/85,South Africa,1985,1.4933e-61,91.20879120879121,91
FJ435405.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 566/86 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 566/86,South Africa,1986,1.4933e-61,91.20879120879121,91
FJ435404.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 196/86 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 196/86,South Africa,1986,1.4933e-61,91.20879120879121,91
FJ435403.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 45/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 45/88,South Africa,1988,1.21816e-61,91.20879120879121,91
FJ435402.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 71/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 71/88,South Africa,1988,6.42293e-62,91.20879120879121,91
FJ435401.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 18/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 18/88,South Africa,1988,3.90042e-61,90.10989010989012,91
FJ435400.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 51/01 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 51/01,South Africa,2001,3.90042e-61,90.10989010989012,91
FJ435399.1,408,"Crimean-Congo hemorrhagic fever virus isolate SPU 497/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 497/88,Namibia,1988,9.99212e-61,89.01098901098901,91
FJ435398.1,408,"Crimean-Congo hemorrhagic fever virus isolate SPU 380/90 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 380/90,South Africa,1990,2.1085e-60,89.01098901098901,91
FJ435397.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 383/87 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 383/87,South Africa,1987,6.39606e-61,89.01098901098901,91
FJ435396.1,412,"Crimean-Congo hemorrhagic fever virus isolate SPU 130/89 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 130/89,South Africa,1989,5.09638e-60,87.91208791208791,91
FJ435395.1,411,"Crimean-Congo hemorrhagic fever virus isolate SPU 246/02/18 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 246/02/18,Pakistan,2002,3.37236e-61,91.20879120879121,91
FJ435394.1,409,"Crimean-Congo hemorrhagic fever virus isolate SPU 273/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 273/88,South Africa,1988,7.87368e-62,91.20879120879121,91
FJ435393.1,409,"Crimean-Congo hemorrhagic fever virus isolate SPU 103/87 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 103/87,South Africa,1987,7.87368e-62,91.20879120879121,91
FJ435392.1,410,"Crimean-Congo hemorrhagic fever virus isolate SPU 48/90 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 48/90,South Africa,1990,1.71046e-61,91.20879120879121,91
FJ435391.1,410,"Crimean-Congo hemorrhagic fever virus isolate SPU 281/89 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 281/89,South Africa,1989,2.22243e-61,91.20879120879121,91
FJ435390.1,410,"Crimean-Congo hemorrhagic fever virus isolate SPU 247/85 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 247/85,South Africa,1989,2.58478e-60,90.10989010989012,91
FJ435389.1,410,"Crimean-Congo hemorrhagic fever virus isolate SPU 337/89 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 337/89,South Africa,1985,2.53175e-62,92.3076923076923,91
FJ435388.1,410,"Crimean-Congo hemorrhagic fever virus isolate SPU 372/89 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 372/89,South Africa,1989,2.53175e-62,92.3076923076923,91
FJ435387.1,409,"Crimean-Congo hemorrhagic fever virus isolate SPU 203/88 glycoprotein gene, partial cds",24-JUL-2016,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,,SPU 203/88,South Africa,1988,2.60648e-62,92.3076923076923,91
AF401650.1,323,"Crimean-Congo hemorrhagic fever virus isolate ROS/TI29323 envelope glycoprotein gene, partial cds",23-JUL-2016,Orthonairovirus haemorrhagiae,M,envelope glycoprotein,,,ROS/TI29323,Russia: Volgograd region,,9.09977e-73,97.19626168224299,107
AF401649.1,323,"Crimean-Congo hemorrhagic fever virus isolate ROS/TI28019 envelope glycoprotein gene, partial cds",23-JUL-2016,Orthonairovirus haemorrhagiae,M,envelope glycoprotein,,,ROS/TI28019,Russia: Rostov region,,2.81658e-73,97.19626168224299,107
AF401648.1,323,"Crimean-Congo hemorrhagic fever virus isolate ROS/TI28017 envelope glycoprotein gene, partial cds",23-JUL-2016,Orthonairovirus haemorrhagiae,M,envelope glycoprotein,,,ROS/TI28017,Russia: Rostov region,,2.81658e-73,97.19626168224299,107
AF401647.1,323,"Crimean-Congo hemorrhagic fever virus isolate STV/TI27960 envelope glycoprotein gene, partial cds",23-JUL-2016,Orthonairovirus haemorrhagiae,M,envelope glycoprotein,,,STV/TI27960,Russia: Stavropol region,,8.22558e-74,99.06542056074767,107
JX051650.1,1673,"Crimean-Congo hemorrhagic fever virus strain HSADL/Gujrat/India/2011/292240 segment S, complete sequence",02-JUN-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,calf,Hyalomma ticks collected from calf in area surrounding human CCHF outbreak 2011 Gujrat India,Gujrat-2011,India,24-May-2011,0.0,96.88796680497926,482
JN572089.1,1667,"Crimean-Congo hemorrhagic fever virus isolate NIV 112143 segment S, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,,NIV 112143,India,2011,0.0,96.6804979253112,482
JN572088.1,1665,"Crimean-Congo hemorrhagic fever virus isolate NIVA 118595 segment S, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,ticks,,NIVA 118595,India,2011,0.0,96.88796680497926,482
JN572087.1,1665,"Crimean-Congo hemorrhagic fever virus isolate NIVA 118594 segment S, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,ticks,,NIVA 118594,India,2011,0.0,96.88796680497926,482
JN572086.1,5368,"Crimean-Congo hemorrhagic fever virus isolate NIV 11703 segment M, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,,NIV 11703,India,2011,0.0,84.97624703087887,1684
JN572085.1,5368,"Crimean-Congo hemorrhagic fever virus isolate NIV 112143 segment M, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,,NIV 112143,India,2011,0.0,85.21377672209026,1684
JN572084.1,5369,"Crimean-Congo hemorrhagic fever virus isolate NIVA 118594 segment M, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,ticks,,NIVA 118594,India,2011,0.0,84.91686460807601,1684
JN572083.1,5303,"Crimean-Congo hemorrhagic fever virus isolate NIVA 118595 segment M, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,ticks,,NIVA 118595,India,2011,0.0,84.97624703087887,1684
JN627865.1,12157,"Crimean-Congo hemorrhagic fever virus isolate NIV 11704 segment L, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,NIV 11704,India,2011,0.0,96.93282636248416,3945
JN572092.1,12166,"Crimean-Congo hemorrhagic fever virus isolate NIVA 118594 segment L, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,L,L protein,ticks,,NIVA 118594,India,2011,0.0,96.98352344740178,3945
JN572091.1,12166,"Crimean-Congo hemorrhagic fever virus isolate NIV 112143 segment L, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,NIV 112143,India,2011,0.0,96.98352344740178,3945
JN572090.1,12166,"Crimean-Congo hemorrhagic fever virus isolate NIVA 118595 segment L, complete sequence",22-MAR-2013,Orthonairovirus haemorrhagiae,L,L protein,ticks,,NIVA 118595,India,2011,0.0,96.90747782002535,3945
GU324993.1,430,"Crimean-Congo hemorrhagic fever virus isolate k53-kk536 nucleoprotein gene, partial cds",14-MAY-2012,Orthonairovirus haemorrhagiae,,nucleoprotein,tick,,k53-kk536,Turkey,Jul-2006,5.06348e-99,100.0,143
GU324992.1,430,"Crimean-Congo hemorrhagic fever virus isolate k52-kk536R nucleoprotein gene, partial cds",14-MAY-2012,Orthonairovirus haemorrhagiae,,nucleoprotein,tick,,k52-kk536R,Turkey,Jul-2006,5.06348e-99,100.0,143
GU324991.1,430,"Crimean-Congo hemorrhagic fever virus isolate k36-kk536 nucleoprotein gene, partial cds",14-MAY-2012,Orthonairovirus haemorrhagiae,,nucleoprotein,tick,,k36-kk536,Turkey,Jul-2006,5.06348e-99,100.0,143
GU324990.1,430,"Crimean-Congo hemorrhagic fever virus isolate k16-2-kk536 nucleoprotein gene, partial cds",14-MAY-2012,Orthonairovirus haemorrhagiae,,nucleoprotein,tick,,k16-2-kk536,Turkey,Jul-2006,5.06348e-99,100.0,143
AY297691.2,1673,"Crimean-Congo hemorrhagic fever virus isolate TAJ/HU8978 segment S, complete sequence",04-APR-2007,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,,patient in 1991,TAJ/HU8978,Tajikistan,,0.0,96.2655601659751,482
AY297692.2,1673,"Crimean-Congo hemorrhagic fever virus isolate TAJ/HU8975 segment S, complete sequence",04-APR-2007,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,,patient in 1990,TAJ/HU8975,Tajikistan,,0.0,97.0954356846473,482
AF415236.1,1672,"Crimean-Congo hemorrhagic fever virus strain 7001 nucleoprotein mRNA, complete cds",27-SEP-2001,Orthonairovirus haemorrhagiae,,nucleoprotein,,,,China,,0.0,95.850622406639,482
M86625.1,1672,"Crimean-Congo hemorrhagic fever virus (isolate C68031) S RNA segment, viral-complementary strand",02-AUG-1993,Orthonairovirus haemorrhagiae,,nucleoprotein,,,,,,0.0,96.6804979253112,482
BD294628.1,1485,A monoclonal antibody recognizing Crimean-Congo hemorrhagic fever virus,04-NOV-2005,Orthonairovirus haemorrhagiae,,,,,,,,999.0,0.0,0
HQ849546.1,1001,"Crimean-Congo hemorrhagic fever virus strain Beruwe 2008 segment M glycoprotein precursor, gene, partial cds",25-JUL-2016,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,,Democratic Republic of the Congo,2008,0.0,82.88288288288288,333
HQ849545.1,1501,"Crimean-Congo hemorrhagic fever virus strain Beruwe 2008 segment S nucleoprotein gene, partial cds",25-JUL-2016,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,,Democratic Republic of the Congo,2008,0.0,96.88195991091314,449
KJ682824.1,1660,"Crimean-Congo hemorrhagic fever virus isolate SPU 44/08 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 44/08,South Africa,2008,0.0,96.6804979253112,482
KJ682823.1,1660,"Crimean-Congo hemorrhagic fever virus isolate SPU 187/90 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 187/90,South Africa,1990,0.0,96.6804979253112,482
KJ682822.1,1660,"Crimean-Congo hemorrhagic fever virus isolate SPU 48/90 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 48/90,South Africa,1990,0.0,96.47302904564316,482
KJ682821.1,1673,"Crimean-Congo hemorrhagic fever virus isolate SPU 130/89 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 130/89,South Africa,1989,0.0,96.6804979253112,482
KJ682820.1,1664,"Crimean-Congo hemorrhagic fever virus isolate SPU 497/88 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 497/88,Namibia,1988,0.0,96.6804979253112,482
KJ682819.1,1660,"Crimean-Congo hemorrhagic fever virus isolate SPU 45/88 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 45/88,South Africa,1988,0.0,96.88796680497926,482
KJ682818.1,1665,"Crimean-Congo hemorrhagic fever virus isolate SPU 18/88 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 18/88,South Africa,1988,0.0,96.6804979253112,482
KJ682817.1,1673,"Crimean-Congo hemorrhagic fever virus isolate SPU 556/87 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 556/87,South Africa,1987,0.0,96.6804979253112,482
KJ682816.1,1673,"Crimean-Congo hemorrhagic fever virus isolate SPU 383/87 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 383/87,South Africa,1987,0.0,96.2655601659751,482
KJ682815.1,1672,"Crimean-Congo hemorrhagic fever virus isolate SPU 431/85 segment S, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,,SPU 431/85,South Africa,1985,0.0,96.2655601659751,482
KJ682814.1,5364,"Crimean-Congo hemorrhagic fever virus isolate SPU 187/90 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 187/90,South Africa,1990,0.0,85.10385756676558,1685
KJ682813.1,5364,"Crimean-Congo hemorrhagic fever virus isolate SPU 48/90 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 48/90,South Africa,1990,0.0,84.26365795724465,1684
KJ682812.1,5337,"Crimean-Congo hemorrhagic fever virus isolate SPU 431/85 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 431/85,South Africa,1985,0.0,84.97041420118343,1690
KJ682811.1,5353,"Crimean-Congo hemorrhagic fever virus isolate SPU 556/87 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 556/87,South Africa,1987,0.0,84.85207100591717,1690
KJ682810.1,5348,"Crimean-Congo hemorrhagic fever virus isolate SPU 18/88 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 18/88,South Africa,1988,0.0,84.07341622261694,1689
KJ682809.1,5348,"Crimean-Congo hemorrhagic fever virus isolate SPU 45/88 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 45/88,South Africa,1988,0.0,84.19182948490231,1689
KJ682808.1,5344,"Crimean-Congo hemorrhagic fever virus isolate SPU 497/88 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 497/88,Namibia,1988,0.0,83.71817643576081,1689
KJ682807.1,5349,"Crimean-Congo hemorrhagic fever virus isolate SPU 130/89 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 130/89,South Africa,1989,0.0,84.07341622261694,1689
KJ682806.1,5279,"Crimean-Congo hemorrhagic fever virus isolate SPU 383/87 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 383/87,South Africa,1987,0.0,83.77738306690348,1689
KJ682805.1,5348,"Crimean-Congo hemorrhagic fever virus isolate SPU 44/08 segment M, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,M,glycoprotein,Homo sapiens,,SPU 44/08,South Africa,2008,0.0,84.36944937833037,1689
KJ682804.1,12155,"Crimean-Congo hemorrhagic fever virus isolate SPU 497/88 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 497/88,Namibia,1988,0.0,96.75538656527249,3945
KJ682803.1,12155,"Crimean-Congo hemorrhagic fever virus isolate SPU 18/88 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 18/88,South Africa,1988,0.0,97.00887198986058,3945
KJ682802.1,12128,"Crimean-Congo hemorrhagic fever virus isolate SPU 130/89 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 130/89,South Africa,1989,0.0,97.00887198986058,3945
KJ682801.1,12151,"Crimean-Congo hemorrhagic fever virus isolate SPU 383/87 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 383/87,South Africa,1987,0.0,96.90747782002535,3945
KJ682800.1,12159,"Crimean-Congo hemorrhagic fever virus isolate SPU 44/08 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 44/08,South Africa,2008,0.0,97.00887198986058,3945
KJ682799.1,12138,"Crimean-Congo hemorrhagic fever virus isolate SPU 431/85 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 431/85,South Africa,1985,0.0,96.88212927756655,3945
KJ682798.1,12156,"Crimean-Congo hemorrhagic fever virus isolate SPU 556/87 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 556/87,South Africa,1987,0.0,97.0595690747782,3945
KJ682797.1,12169,"Crimean-Congo hemorrhagic fever virus isolate SPU 48/90 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 48/90,South Africa,1990,0.0,96.90747782002535,3945
KJ682796.1,12129,"Crimean-Congo hemorrhagic fever virus isolate SPU 45/88 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 45/88,South Africa,1988,0.0,96.95817490494296,3945
KJ682795.1,12159,"Crimean-Congo hemorrhagic fever virus isolate SPU 187/90 segment L, complete sequence",06-JUL-2014,Orthonairovirus haemorrhagiae,L,L protein,Homo sapiens,,SPU 187/90,South Africa,1990,0.0,97.0342205323194,3945
DQ211650.1,1640,"Crimean-Congo hemorrhagic fever virus strain UG3010 segment S, complete sequence",16-AUG-2006,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,,,Republic of the Congo,1956,0.0,96.47302904564316,482
DQ211637.1,5388,"Crimean-Congo hemorrhagic fever virus strain UG3010 segment M, complete sequence",16-AUG-2006,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,,,Republic of the Congo,1956,0.0,74.63039621525725,1691
DQ211624.1,12128,"Crimean-Congo hemorrhagic fever virus strain UG3010 segment L, complete sequence",16-AUG-2006,Orthonairovirus haemorrhagiae,L,RNA-dependent RNA polymerase,Homo sapiens,,,Republic of the Congo,1956,0.0,95.08238276299113,3945
KM401454.1,690,"Crimean-Congo hemorrhagic fever virus isolate Iran-Kerman22 nucleocapsid gene, partial cds",31-AUG-2015,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,,Iran-Kerman22,Iran,2012,1.70843e-143,94.81132075471697,212
DL138932.1,1672,COMPOSITIONS FOR USE IN IDENTIFICATION OF VIRAL HEMORRHAGIC FEVER VIRUSES,26-SEP-2008,Orthonairovirus haemorrhagiae,,,,,,,,999.0,0.0,0
AY550258.1,256,"Crimean-Congo hemorrhagic fever virus isolate BUL10/02 nucleoprotein gene, partial cds",26-JUL-2016,Orthonairovirus haemorrhagiae,,nucleoprotein,,,BUL10/02,Bulgaria,,1.43945e-58,100.0,85
AY550257.1,256,"Crimean-Congo hemorrhagic fever virus isolate BUL9/02 nucleoprotein gene, partial cds",26-JUL-2016,Orthonairovirus haemorrhagiae,,nucleoprotein,,,BUL9/02,Greece,,1.43945e-58,100.0,85
AY550256.1,256,"Crimean-Congo hemorrhagic fever virus isolate BUL6/02 nucleoprotein gene, partial cds",26-JUL-2016,Orthonairovirus haemorrhagiae,,nucleoprotein,,,BUL6/02,Bulgaria,,1.37961e-57,97.6470588235294,85
AY550255.1,256,"Crimean-Congo hemorrhagic fever virus isolate BUL3/02 nucleoprotein gene, partial cds",26-JUL-2016,Orthonairovirus haemorrhagiae,,nucleoprotein,,,BUL3/02,Bulgaria,,1.43945e-58,100.0,85
AY550254.1,256,"Crimean-Congo hemorrhagic fever virus isolate BUL2/03 nucleoprotein gene, partial cds",26-JUL-2016,Orthonairovirus haemorrhagiae,,nucleoprotein,,,BUL2/03,Bulgaria,,1.43945e-58,100.0,85
AY550253.1,256,"Crimean-Congo hemorrhagic fever virus isolate BUL1/03 nucleoprotein gene, partial cds",26-JUL-2016,Orthonairovirus haemorrhagiae,,nucleoprotein,,,BUL1/03,Bulgaria,,1.43945e-58,100.0,85
KP223321.1,519,"Crimean-Congo hemorrhagic fever virus isolate Nad-83-519c nucleocapsid gene, partial cds",28-MAR-2015,Orthonairovirus haemorrhagiae,S,nucleocapsid,Homo sapiens,,Nad-83-519c,Iran,,1.01977e-116,94.79768786127167,173
KP223320.1,496,"Crimean-Congo hemorrhagic fever virus isolate Nad-71-496c nucleocapsid gene, partial cds",28-MAR-2015,Orthonairovirus haemorrhagiae,S,nucleocapsid,Homo sapiens,,Nad-71-496c,Iran,,4.76465e-111,95.15151515151516,165
KP223319.1,510,"Crimean-Congo hemorrhagic fever virus isolate Nad-20-510c nucleocapsid gene, partial cds",28-MAR-2015,Orthonairovirus haemorrhagiae,S,nucleocapsid,Homo sapiens,,Nad-20-510c,Iran,,7.43484e-115,95.29411764705881,170
KP223318.1,494,"Crimean-Congo hemorrhagic fever virus isolate Nad-8-494c nucleocapsid gene, partial cds",28-MAR-2015,Orthonairovirus haemorrhagiae,S,nucleocapsid,Homo sapiens,,Nad-8-494c,Iran,,3.26136e-110,95.1219512195122,164
