RefID,PMID,Title,Authors,Journal,Year,accession
16,,Immunocompetent Mouse Model for Crimean-Congo Hemorrhagic Fever Virus,"Hawman D., Meade-white K., Leventhal S., Feldmann F., Okumura A., Smith B., Scott D., Feldmann H.",bioRxiv (2021) In press,2021,"MW058030, MW058029, MW058028"
17,,Direct Submission,"Hawman D., Sturdevant D., Martens C., Babian K., Feldmann H."," Laboratory of Virology, Rocky Mountain Labs NIH/NIAD, 903 S 4th St, Hamilton, MT 59840, USA",2020,"MW058030, MW058029, MW058028"
18,33084573,A single mutation in Crimean-Congo hemorrhagic fever virus discovered in ticks impairs infectivity in human cells,"Hua B., Scholte F., Ohlendorf V., Kopp A., Marklewitz M., Drosten C., Nichol S., Spiropoulou C., Junglen S., Bergeron E.",Elife 9 (2020) In press,2020,"MK299346, MK299345, MK299344, MK299343, MK299342, MK299341, MK299340, MK299339, MK299338"
19,,Direct Submission,"Ji J., Zhou H., Cui M., Guo M., Ma Z., Li L., Hu T., Shi W."," Key Laboratory of Etiology and Epidemiology of Emerging Infectious Diseases, Shandong First Medical University and Shandong Academy of Medical Sciences, Yingshengdonglu No. 2, Taian 271000, China",2022,"ON500502, ON500501, ON500500"
20,,Direct Submission,"Kalvatchev N., Christova I., Andonova L."," Microbiology, National Centre of Infectious and Parasitic Diseases, 26 Yanko Sakazov Blvd., Sofia 1504, Bulgaria",2009,GU138618
21,24877102,Novel molecular beacon probe-based real-time rt-PCR assay for diagnosis of crimean-congo hemorrhagic Fever encountered in India,"Kamboj A., Pateriya A., Mishra A., Ranaware P., Kulkarni D., Raut A.","Biomed Res Int 2014, 496219 (2014)",2014,JX051650
22,,Direct Submission,"Karan L., Perekopskaya N., Morozkin E., Roev G."," Department of Molecular Diagnostic and Epidemiology, Central Research Institute of Epidemiology, Novogireevskaya 3A, Moscow 111123, Russia",2024,"PP116320, PP116319, PP116318"
23,,CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS IMMUNOGENIC COMPOSITIONS,"Kobinger G., Babuadze G.",Patent,2021,MQ039150
24,15503207,Genetic analysis of the M RNA segment of Crimean-Congo hemorrhagic fever virus strains involved in the recent outbreaks in Russia,"Kuhn J., Seregin S., Morzunov S., Petrova I., Vyshemirskii O., Lvov D., Tyunnikov G., Gutorov V., Netesov S., Petrov V.","Arch. Virol. 149 (11), 2199-2213 (2004)",2004,"AF481806, AF492424, AF492423, AF492422, AF492421, AF489587, AF489586, AF483274, AF483273, AF483272, AF483271"
25,22925023,Relationship between crimean-congo hemorrhagic Fever virus strains circulating in iran and Turkey: possibilities for transborder transmission,"Mahzounieh M., Dincer E., Faraji A., Akin H., Akkutay A., Ozkul A.","Vector Borne Zoonotic Dis. 12 (9), 782-785 (2012)",2012,"HM853682, HM853681, HM853680, HM853679"
26,1641991,"Comparison of the S RNA segments and nucleoprotein sequences of Crimean-Congo hemorrhagic fever, Hazara, and Dugbe viruses","Marriott A., Nuttall P.","Virology 189 (2), 795-799 (1992)",1992,M86625
27,16195783,Complete L segment coding-region sequences of Crimean Congo hemorrhagic fever virus strains from the Russian Federation and Tajikistan,"Meissner J., Seregin S., Seregin S., Yakimenko N., Vyshemirskii O., Netesov S., Petrov V.","Arch. Virol. 151 (3), 465-475 (2006)",2006,"AY720893, AY675240"
28,,Direct Submission,"Meissner J., Seregin S., Yakimenko N., Vyshemirski O., Seregin S., Netesov S., Petrov V."," Laboratory of Virology, State Research Center of Virology and Biotechnology 'VECTOR', Koltsovo, Novosibirsk 630559, Russia",2004,"AY720893, AY720893, AY675240, AY675240"
29,19515251,The first clinical case due to AP92 like strain of Crimean-Congo Hemorrhagic Fever virus and a field survey,"Midilli K., Gargili A., Ergonul O., Elevli M., Ergin S., Turan N., Sengoz G., Ozturk R., Bakar M.","BMC Infect. Dis. 9, 90 (2009)",2009,EU057975
30,,Modified Microbial Nucleic Acid,"Millar D., Meruki J.",Patent,2009,"FV537253, FV537252, FV537251, FV537250, FV537249, FV537248, FV537247, FV537246, FV537245, FV537244, FV537243, FV537242"
31,,A monoclonal antibody recognizing Crimean-Congo hemorrhagic fever,"Morikawa S., Kurane I., Niikura M., Saijo M.",Patent,2003,BD294628
32,,Direct Submission,NCBI," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",2003,"NC_005301, NC_005300"
33,,Direct Submission,NCBI," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",2004,NC_005302
34,,Direct Submission,"Negredo A., Vazquez A., Hernandez L., Sanchez-seco M."," Arbovirus and Imported Viral diseases, National Center of Microbiology, Institute of Health Carlos III, Ctra. Majadahonda-Pozuelo, km2, Majadahonda, Madrid 28220, Spain",2019,"MN689741, MN689740, MN689739"
35,,Direct Submission,"Ohlendorf V., Kopp A., Marklewitz M., Drosten C., Junglen S."," Charite Universitatsmedizin Berlin, Institute of Virology, Chariteplatz 1, Berlin 10117, Germany",2018,"MK299346, MK299345, MK299344, MK299343, MK299342, MK299341, MK299340, MK299339, MK299338"
36,17955162,Genetic analysis of the M RNA segment of Crimean-Congo hemorrhagic fever virus strains in Turkey,"Ozdarendeli A., Aydin K., Tonbak S., Aktas M., Altay K., Koksal I., Bolat Y., Dumanli N., Kalkan A.","Arch. Virol. 153 (1), 37-44 (2008)",2008,"EF189753, EF189752, EF189751, EF189750, EF189749, EF189748, EF189747, EF189746, EF189745, EF189744, EF189743, EF189742, EF189741, EF189740"
37,,Direct Submission,"Ozkul A., Mahzounieh M., Dincer E."," Virology Department, Ankara University, Faculty of Veterinary Medicine, Irfan Bastug Cad. Diskapi, Ankara, None 06110, Turkey",2010,"HM853682, HM853681, HM853680, HM853679"
38,,Direct Submission,"Ozkul A., Uyar Y., Korukluoglu G., Ayranci sucakli I., Dincer E."," Department of Virology, Ankara University, Faculty of Veterinary Medicine, Irfan Bastug Cad. Diskapi, Ankara 06110, Turkey",2009,"GU084162, GU084161"
39,,Direct Submission,"Papa A., Kalvatchev N., Christova I."," Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece",2013,KJ000206
40,,Direct Submission,"Peng L., Hirsch S., Kocher G., Mehta M., Holbrook M."," IRF, NIH/NIAID, 8200 Research Plaza, Frederick, MD 21702, USA",2024,"PQ463984, PQ463983, PQ463982"
41,,Direct Submission,"Picard C., Baize S."," Virology, Institut Pasteur, 21 Av Tony Garnier, Lyon 69365, France",2023,"PP067088, PP067087, PP067086, PP067085, PP067084, PP067083, PP067082, PP067081, PP067080, PP067079, PP067078, PP067077, PP067076, PP067075, PP067074, PP067073, PP067072, PP067071, PP067070, PP067069, PP067068, PP067067, PP067066, PP067065, PP067064, PP067063, PP067062, PP067061, PP067060, PP067059, PP067058, PP067057, PP067056, PP067055, PP067054, PP067053, PP067052, PP067051, PP067050, PP067049, PP067048, PP067047"
42,,Direct Submission,"Piorkowski G., Kiwan P., Masse S., Ayhan N., Charrel R., De lamballerie X., Falchi A."," UMR190 Unite des Virus Emergents U1207, IHU mediterranee, 19-21 boulevard Jean Moulin, Marseille 13005, France",2023,"PP025040, PP025039, PP025038"
43,,Direct Submission,"Rangunwala A., Burt F., Swanepoel R., Janusz P."," Medical Microbiology and Virology, University of the Free State, DF Malherbe Drive, Bloemfontein, Free State 9310, South Africa",2013,KC880335
44,,Direct Submission,"Rieu M., Ji S., Byun H., Han S., Choi C., Nam H., Seo S., Chae J."," Labaratory of Veterinary Internal Medicine, Seoul National University, 1 GwanakGwanak-ro, GwanakGwanak-gu, Seoul, Seoul 08840, Republic of Korea",2024,"PP334110, PP334109, PP334108, PP334107, PP334106, PP334105, PP334104, PP334103, PP334102, PP334101"
45,,Direct Submission,Sado yousseu F.," Microbiology and Parasitology, Centre of Research in Infectious Diseases, Street 1.606 Yaounde 5, Yaounde, Centre POBOX 13591, Yaounde, Cameroon",2022,ON564456
46,,Second autochthonous case of CCHF infection by tick bite in Spain (2018). Identification of a new virus circulating in West Europe,"Sanchez-arroyo R., De ory F., Budino M., Garcinuno M., De la hoz C., Gutierrez A., Diez F.",Unpublished,,"MN689741, MN689740, MN689739"
47,8780459,Polymerase chain reaction for diagnosis and identification of distinct variants of Crimean-Congo hemorrhagic fever virus in the United Arab Emirates,"Schwarz T., Nsanze H., Longson M., Nitschko H., Gilch S., Shurie H., Ameen A., Zahir A., Acharya U., Jager G.","Am. J. Trop. Med. Hyg. 55 (2), 190-196 (1996)",1996,"S82581, S82580"
48,,Direct Submission,"Seregin S., Samokhvalov E., Petrova I., Vyshemirski O., Gutorov V., Tyunnikov G., Lvov D., Netesov S., Petrov V."," Biochemistry of Viruses, State Research Center of Virology and Biotechnology, Koltsovo, Novosibirsk 630559, Russia",2002,"AY179963, AY179961, AY179962"
49,14976418,Genetic characterization of the M RNA segment of Crimean-Congo hemorrhagic fever virus strains isolated in Russia and Tajikistan,"Seregin S., Samokhvalov E., Petrova I., Vyshemirskii O., Samokhvalova E., Lvov D., Gutorov V., Tyunnikov G., Shchelkunov S., Netesov S., Petrov V.","Virus Genes 28 (2), 187-193 (2004)",2004,"AY179963, AY179961, AY179962"
50,,Direct Submission,"Shahid M., Yaqub T., Ali M., Ul-rahman A., Bente D."," Institute of Microbiology, University of Veterinary and Animal Sciences, Outfall Road, Lahore, Punjab 54600, Pakistan",2021,"MW915561, MW915560, MW915559, MW915558, MW915557, MW915556, MW915555, MW915554, MW915553, MW915552, MW915551, MW915550, MW915549, MW915548, MW915547, MW915546, MW915545, MW915544, MW915543, MW915542, MW915541"
51,33753031,Prevalence and phylogenetic analysis of Crimean-Congo hemorrhagic fever virus in ticks collected from Punjab province of Pakistan,Shahid mf  .,"Acta Trop 218, 105892 (2021)",2021,"MW915561, MW915560, MW915559, MW915558, MW915557, MW915556, MW915555, MW915554, MW915553, MW915552, MW915551, MW915550, MW915549, MW915548, MW915547, MW915546, MW915545, MW915544, MW915543, MW915542, MW915541"
52,22119389,Crimean-Congo hemorrhagic fever virus in various ixodid tick species from a highly endemic area,"Tekin S., Bursali A., Mutluay N., Keskin A., Dundar E.","Vet. Parasitol. 186 (3-4), 546-552 (2012)",2012,"GU324993, GU324992, GU324991, GU324990"
53,21083375,Concurrent Crimean-Congo hemorrhagic fever and visceral leishmaniasis in a Turkish girl,"Tezer H., Tavil B., Sucakli I., Korukluoglu G., Uyar Y., Dincer E., Tunc B., Ozkul A.","Vector Borne Zoonotic Dis. 11 (6), 743-745 (2011)",2011,"GU084162, GU084161"
54,,Direct Submission,"Tumanova I., Seregin S., Vyshemirski O., Petrova I., Tyunnikov G., Gutorov V., Seregin S., Netesov S., Petrov V."," Biochemistry of Viruses, State Research Center of Virology and Biotechnology 'Vector', Koltsovo, Novosibirsk 630559, Russia",2007,"AY049083, AY297691, AY297692"
55,,Direct Submission,"Wang J., Wang B., Xia X., Zhou J., Wang Y., Wang Y."," Faculty of Life Science and Technology, Kunming University of Science and Technology, 727 Jingming South Road, Kunming, Yunnan 650000, China",2023,"OQ633004, OQ633003, OQ633002"
56,20960283,Serial expression of the truncated fragments of the nucleocapsid protein of CCHFV and identification of the epitope region,"Wei P., Luo Y., Li T., Wang H., Hu Z., Zhang F., Zhang Y., Deng F., Sun S.","Virol Sin 25 (1), 45-51 (2010)",2010,FJ562093
57,12574301,Genetic analysis of Crimean-Congo hemorrhagic fever virus in Russia,"Yashina L., Vyshemirskii O., Seregin S., Petrova I., Samokhvalov E., Lvov D., Gutorov V., Kuzina I., Tyunnikov G., Tang Y., Netesov S., Petrov V.","J. Clin. Microbiol. 41 (2), 860-862 (2003)",2003,"AY093625, AY093624, AY093623, AY093622, AY093621, AY093620, AF401650, AF401649, AF401648, AF401647"
58,24223988,Bayesian phylogeography of crimean-congo hemorrhagic Fever virus in Europe,"Zehender G., Ebranati E., Shkjezi R., Papa A., Luzzago C., Gabanelli E., Lo presti A., Lai A., Rezza G., Galli M., Bino S., Ciccozzi M.","PLoS ONE 8 (11), E79663 (2013)",2013,"KC846094, KC846093"
59,,Direct Submission,"Zhang Y., Sun S., Meng W., Muhetar R., Wang X., Ma J., Zhang F., Hu J., Dai X., Feng C., Hang C., Azati R., Tai X."," Xinjiang Center for Disease Control and Prevention, Key Lab of Biological Resources and Genetic Engineering of Xinjiang, College of Life Science and Technology, Xinjiang University 830046, P.R. China",2005,"DQ301505, DQ301504, DQ301503, DQ301502"
60,30522982,Seroepidemiological and molecular investigations of infections with crimean-congo haemorrhagic fever virus in kazakhstan,"Abdiyeva K., Dmitrovsky A., Dobler G., Essbauer S., Frey S., Heinrich N., Hoelscher M., Kachiyeva Z., Montag J., Shapiyeva Z., Shin A., Tukhanova N., Turebekov N., Wagner E., Yegemberdiyeva R., Yeraliyeva L., Zhalmagambetova A., Zinner J."," Virology & Rickettsiology, Bundeswehr Institute of Microbiology, Neuherbergstr. 11, Muenchen 80937, Germany, Int. J. Infect. Dis. 78, 121-127 (2019)","2018, 2019","MG974100, MG974101, MG974102, MG974103, MG974104"
61,,Genotypes of the congo-crimean hemorrhagic fever virus occurring in the turkestan region,"Abuova G., Aliyev D., Berdaliyeva F., Karan L., Nurmagambet S., Polukchi T., Pshenichnaya N., Sadyhova D."," Department of molecular diagnostic and epidemiology, Central Research Institute of Epidemiology, Novogireevskaya 3A, Moscow 111123, Russia, Arch Clin Infect Dis 17 (6), e129126 (2022)","2022, 2023","OQ190959, OQ190960, OQ190961, OQ190962, OQ190963, OQ190964, OQ190965, OQ190966, OQ190967, OQ190968, OQ190969"
62,,Molecular identification of crimean-congo haemorrhagic fever virus in livestock ticks in the upper east region of ghana,"Addo S., Agbodzi B., Ansah-owusu J., Asoala V., Baako B., Baidoo P., Bentil R., Diclaro J., Dunford J., Kumordjie S., Larbi J., Tawiah-mensah C., Wilson M., Yartey K., Yeboah C."," NAMRU-3, University of Ghana Noguchi Memorial Institute for Medical Research, P O Box LG 581, University of Ghana-Legon, Accra, Legon +233, Ghana, Unpublished",2023,"OQ441060, OQ441061, OQ441062"
63,16298978,Presence of broadly reactive and group-specific neutralizing epitopes on newly described isolates of crimean-congo hemorrhagic fever virus,"Ahmed A., Bertolotti-ciarlet A., Doms R., Filone C., Hoffmann C., Khodjaev S., Mcfalls J., Paragas J., Schmaljohn C., Shermukhamedova D., Stewart S."," Microbiology, University of Pennsylvania, 301C Johnson Pavilion 3610 Hamilton Walk, Philadelphia, PA 19104, USA, J. Gen. Virol. 86 (PT 12), 3327-3336 (2005)",2005,"AY900141, AY900142, AY900143, AY900144, AY900145"
64,,"Collection and screening for cchfv of hyalomma marginatum questing unfed adults in thrace, turkey","Akyildiz G., Bircan R., Kar S."," Department of Biology, Namik Kemal University, Degirmenalti Campus, Tekirdag, Suleymanpasa 59100, Turkey, Unpublished",2019,"MN398288, MN398289, MN398290, MN398291, MN398292, MN398293, MN398294, MN398295, MN398296"
65,23641865,Genetic analysis and epidemiology of crimean congo hemorrhagic fever viruses in baluchistan province of pakistan,"Alam M., Angez M., Khurshid A., Rana M., Sharif S., Shaukat S., Zaidi S."," Virology, National Institute of Health-Pakistan, Park Road, Chak Shahzad, Islamabad 44000, Pakistan, BMC Infect. Dis. 13, 201 (2013)",2013,"KC869988, KC869989, KC869990, KC869991, KC869992, KC869993"
66,26625182,Assessment of inhibitors of pathogenic crimean-congo hemorrhagic fever virus strains using virus-like particles,"Albarino C., Bergeron E., Guerrero L., Khristova M., Metcalfe M., Pegan S., Spiropoulou C., Zivcec M."," Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, Atlanta, GA 30329, USA, PLoS Negl Trop Dis 9 (12), E0004259 (2015)",2015,"KR864901, KR864902"
67,30658445,Co-delivery effect of cd24 on the immunogenicity and lethal challenge protection of a dna vector expressing nucleocapsid protein of crimean congo hemorrhagic fever virus,"Aligholipour farzani T., Ergunay K., Farzani T., Foldes K., Hanifehnezhad A., Hashim mohamed ali H., Muhamed ali H., Ozkul A., Yilmaz E."," Department of Virology, Faculty of Veterinary Medicine, Ankara University, Sehit Omer Halisdemir Blv. Diskapi, Ankara 06110, Turkey, Viruses 11 (1), E75 (2019)","2018, 2019","MK309333, MK309334"
68,20409377,"Nosocomial outbreak of crimean-congo hemorrhagic fever, sudan","Aradaib I., Elageb R., Erickson B., Karsany M., Khristova M., Mustafa M., Nichol S., Saeed N."," Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA, Emerging Infect. Dis. 16 (5), 837-839 (2010)","2009, 2010","GQ862371, GQ862372"
69,,Emerging viruses are an underestimated cause of undiagnosed febrile illness in uganda,"Ashraf S., Balinandi S., Bugembe D., Bukenya H., Bwogi J., Byaruhanga T., Da silva filipe A., Davis C., Downing R., Jerome H., Kaleebu P., Kayiwa J., Kigozi B., Logan N., Lutwama J., Mcconnell W., Namuwulya P., Salazar M., Salazar-gonzalez J., Shepherd J., Sreenu V., Ssekagiri A., Ssemwanga D., Thomson E., Wilkie G., Willett B."," MRC Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom, Unpublished",2022,"OQ077990, OQ077991"
70,,Direct Submission,"Ashraf S., Burton C., Carmichael S., Filipe A., Love H., Richards K., Roddy S., Smollett K., Summers S., Thomson E., Tong L."," MRC Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom,  MRC Centre for Virus Research, University of Glasgow, 464 Bearsden road, Glasgow G61 1QH, United Kingdom",2021,"OL741591, OL741592, OL741593, OL741594, OL741595, OL741596, OL741597, OL741598, OL741599, OL774840, OL774841, OL774842, OL774849, OL774850, OL774851"
71,,Human cases of cchfv in oman 2012-2014,"Al-abaidani I., Al-abri S., Al-jardani A., Al-kindi H., Al-maani A., Al-mahrooqi S., Al-rawahi B., Almahrouqi S., Atkinson B., Bawakir S., Beeching N., Hewson R."," Research, Public Health England, Manor Farm Road, Salisbury, Wiltshire SP4 0JG, UK, Unpublished",2018,"MH037279, MH037280, MH037281, MH037282, MH037283, MH037284, MH037285, MH037286, MH037287, MH037288, MH037289, MH037290"
72,23172105,"Crimean-congo hemorrhagic fever nosocomial infection in a immunosuppressed patient, pakistan: case report and virological investigation","Altaf L., Atkinson B., Brooks T., Carroll M., Chamberlain J., Hasan Z., Hewson R., Jamil B., Latham J., Logue C., Mahmood F., Moatter T., Mohammed M., Osborne J., Samreen A., Vipond R."," Research, Health Protection Agency, Manor Farm Road, Salisbury, Wiltshire SP4 0JG, UK, J. Med. Virol. 85 (3), 501-504 (2013)","2012, 2013","JX227939, JX908640"
73,29382607,"Investigation of an isolated case of human crimean-congo hemorrhagic fever in central uganda, 2015","Balinandi S., Klena J., Kyondo J., Lubwama B., Lutwama J., Mulei S., Nichol S., Nyakarahuka L., Ojwang J., Patel K., Shoemaker T., Strher U., Stroeher U., Tumusiime A."," VSPB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA, Int. J. Infect. Dis. 68, 88-93 (2018)",2018,MH178082
74,,Crimean-congo hemorrhagic fever in uganda 2013-2019,"Almberg M., Balinandi S., Klena J., Kyondo J., Lutwama J., Mugisha L., Mulei S., Nyakarahuka L., Shoemaker T., Tumusiime A., Whitmer S."," VSPB, CDC, 1600 Clifton Rd. NE, Atlanta, GA 30333, USA, Unpublished",2021,"MW464943, MW464944, MW464945, MW464946, MW464947, MW464948, MW464949, MW464950, MW464951, MW464952, MW464953, MW464954, MW464955, MW464956, MW464957, MW464958, MW464959, MW464960, MW464961, MW464962, MW464963, MW464964, MW464965, MW464966, MW464967, MW464968, MW464969, MW464970, MW464971, MW464972, MW464973, MW464974, MW464975, MW464976, MW464977, MW464978, MW464979, MW464980, MW464981, MW464982, MW464983, MW464984, MW464985, MW464986"
75,,Whole genome sequencing of crimean-congo hemorrhagic fever orthonairovirus in iran,"Azadmanesh K., Baniasadi V., Fazlalipour M., Fereydouni Z., Jalali T., Mohammadi T., Pouriayevali M., Qaedi H., Salehi-vaziri M."," Arboviruses and Viral Hemorrhagic Fevers Department (National Ref Lab), Pasteur Institute of Iran, No 69, Pasteur Ave, Tehran, Tehran 1316943551, Iran, Unpublished",2018,"MH461097, MH461098, MH461099"
76,37047384,A novel rt-lamp for the detection of different genotypes of crimean-congo haemorrhagic fever virus in patients from spain,"Belhassen-garcia M., Crego-vicente B., Febrer-sendra B., Fernandez-soto P., Garcia-bernalt diego J., Munor-bellido J., Muro A., Negredo A., Sanchez-seco M."," Parasitology Department, University of Salamanca, Campus Miguel de Unamuno Calle licenciado mendez, Salamanca, Salamanca 37007, Espana, Int J Mol Sci 24 (7), 6411 (2023)","2022, 2023","OP776631, OP776632, OP776633, OP776634, OP889253"
77,,First whole genome isolation of crimean-congo haemorrhagic fever virus (cchfv) in tick species within ghana,"Addo S., Agbodzi B., Ampadu R., Asoala V., Baako B., Behene E., Bentil R., Dadzie S., Diclaro J., Fox A., Harwood J., Kumordjie S., Letizia A., Mingle D., Mosore M., Nimo-paintsil S., Nyarko E., Oduro D., Tagoe J., Yeboah C."," NAMRU-3, University of Ghana Noguchi Memorial Institute for Medical Research, P O Box LG 581, University of Ghana-Legon, Accra, Legon +233, Ghana, Unpublished",2023,"OQ441063, OQ441064, OQ441065"
78,,"Orthonairovirus haemorrhagiae in north macedonia, 2023","Bosevska G., Cadar D., Emmerich P., Osmani D., Toth E., Von possel R."," Virus Genomics and Evolution, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Strasse 74, Hamburg, Deutschland 20359, Deutschland, Unpublished",2024,"PP963968, PP963969, PP963970, PP963971, PP963972, PP963973"
79,,Severe undifferentiated febrile illness outbreaks in the federal republic of sudan: a retrospective epidemiological & diagnostic cohort study,"Alzain M., Atkinson B., Bausch D., Beeching N., Bower H., Brooks T., Carter D., Dowall S., El halawi A., El karsany M., Eldegail M., Fletcher T., Furneaux J., Gannon B., Graham V., Hewson R., Mahmoud I., Mellors J., Mohamed R., Mohamednour S., Osborne J., Osman A., Pullan S., Semper A., Slack G., Taha R., Whitworth J."," Genomics of Rare and Emerging Human Pathogens, Public Health England, Manor Farm Road, Porton Down, Wiltshire SP4 0JG, United Kingdom, Unpublished",2019,"MK442893, MK442894, MK442895"
80,,"Serological and virological evidence of crimean-congo haemorrhagic fever virus circulation in the human population of borno state, northeastern nigeria","Atkinson B., Baba S., Bell A., Bosworth A., Bukbuk D., Dowall S., Hewson R., Lewandowski K., Varghese A."," Research and Technical Services, Public Health England, Manor Farm Road, Porton, Wiltshire SP4 0JG, UK, Unpublished",2016,"KX238956, KX238957, KX238958"
81,36014962,The prevalence and genetic variants of the cchf virus circulating among ticks in the southern regions of kazakhstan,"Barakbayev K., Burashev Y., Chervyakova O., Kozhabergenov N., Mukhami N., Nakhanov A., Orynbayev M., Shynybekova G., Sultankulova K., Zakarya K."," Molecular Biology and Genetic Engineering, Research Institute for Biological Safety Problems, Kordai region, Gvardeyskiy, Gvardeyskiy, Zhambulskaya oblast 080409, Kazakhstan, Pathogens 11 (8), 841 (2022)",2022,"ON783803, ON783804, ON783805"
82,21337953,"Species diversity of ixodid ticks feeding on humans in amasya, turkey: seasonal abundance and presence of crimean-congo hemorrhagic fever virus","Bursali A., Dundar E., Ekici M., Keskin A., Tekin S."," Biology, Balikesir University, Fen Edebiyat Fakultesi, Balikesir 10145, Turkey, J. Med. Entomol. 48 (1), 85-93 (2011)","2010, 2011","GU550068, GU550069, GU550070, GU550071"
