Authors,Title,Journal,PMID,Year,accession,RefID,FirstAuthorSurname,ShortName
"Rieu M., Ji S., Byun H., Han S., Choi C., Nam H., Seo S., Chae J.",Direct Submission," Labaratory of Veterinary Internal Medicine, Seoul National University, 1 GwanakGwanak-ro, GwanakGwanak-gu, Seoul, Seoul 08840, Republic of Korea",,2024,"PP334110, PP334109, PP334108, PP334107, PP334106, PP334105, PP334104, PP334103, PP334102, PP334101",45,Rieu,Rieu (2024)
Sado yousseu F.,Direct Submission," Microbiology and Parasitology, Centre of Research in Infectious Diseases, Street 1.606 Yaounde 5, Yaounde, Centre POBOX 13591, Yaounde, Cameroon",,2022,ON564456,46,Sado yousseu,Sado yousseu (2022)
"Schwarz T., Nsanze H., Longson M., Nitschko H., Gilch S., Shurie H., Ameen A., Zahir A., Acharya U., Jager G.",Polymerase chain reaction for diagnosis and identification of distinct variants of Crimean-Congo hemorrhagic fever virus in the United Arab Emirates,"Am. J. Trop. Med. Hyg. 55 (2), 190-196 (1996)",8780459,1996,"S82581, S82580",47,Schwarz,"Schwarz (1996, 8780459)"
"Sun S., Zhang Y., Dai X., Ma J., Zhang F., Meng W., Wang X., Feng C., Hang C., Zhu H., Azati A., Xie Y.",Direct Submission," College of Life Science and Technology, Xinjiang University, 14 Shengli Road, Urumqi, Xinjiang 830046, China",,2005,DQ217602,48,Sun,Sun (2005)
"Sun S., Zhang Y., Meng W., Wang X., Ajati A., Dai X., Ma J., Zhang F., Zhu H., Feng C., Hang C., Xie Y.",Direct Submission," Xinjiang Center for Disease Control and Prevention, College of Life Science and Technology, Xinjiang University, Urumqi, Xinjiang 830002, China",,2005,DQ227495,49,Sun,Sun (2005)
"Tumanova I., Seregin S., Vyshemirski O., Petrova I., Tyunnikov G., Gutorov V., Seregin S., Netesov S., Petrov V.",Direct Submission," Biochemistry of Viruses, State Research Center of Virology and Biotechnology 'Vector', Koltsovo, Novosibirsk 630559, Russia",,2007,"AY049083, AY297691, AY297692",50,Tumanova,Tumanova (2007)
Umair M.,Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad 44000, Pakistan",,2020,"MN970092, MN970091, MN970090, MN970089, MN970088, MN970087, MN970086, MN970085, MN970084, MN970083, MN970082, MN970081, MN970080, MN970079, MN970078, MN970077, MN970076, MN970075, MN970074, MN970073, MN970072, MN970071, MN970070, MN970069, MN970068, MN970067, MN970066, MN970065, MN970064, MN970063, MN970062, MN970061, MN970060, MN970059, MN970058, MN970057, MN970056, MN970055, MN970054, MN970053",51,Umair,Umair (2020)
Umair M.,Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad, Islamabad 44000, Pakistan",,2021,"MZ287861, MZ287860, MZ287859, MZ287858, MZ287857, MZ287856",52,Umair,Umair (2021)
"Umair M., Haider S., Jamal Z., Ammar M., Hakim R., Ali Q., Salman M.",Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad, Islamabad 44000, Pakistan",,2023,"OR964931, OR964930, OR964929, OR964928, OR964927, OR964926, OR964925, OR964924, OR964923, OR964922, OR964921",53,Umair,Umair (2023)
"Umair M., Hakim R., Jamal Z., Salman M.",Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad, Islamabad 44000, Pakistan",,2024,"PQ523730, PQ523729, PQ523728, PQ523727, PQ523726, PQ523725, PQ523724, PQ523723, PQ523722, PQ523721, PQ523720",54,Umair,Umair (2024)
"Umair M., Jamal Z., Ammar M., Haider S., Ali Q., Hakim R., Salman M.",Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad, Islamabad 44000, Pakistan",,2023,"OR964920, OR964919, OR964918, OR964917, OR964916, OR964915, OR964914, OR964913, OR964912, OR964911, OR964910",55,Umair,Umair (2023)
"Umair M., Jamal Z., Haider S., Ammar M., Ali Q., Hakim R., Salman M.",Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad, Islamabad 44000, Pakistan",,2023,"OR964942, OR964941, OR964940, OR964939, OR964938, OR964937, OR964936, OR964935, OR964934, OR964933, OR964932",56,Umair,Umair (2023)
"Umair M., Rehman Z., Salman M., Ikram A., Haider S., Ammar M., Ali Q., Hakim R., Ansari S.",Direct Submission," Department of Virology, National Institute of Health, Park Road, Chak Shahzad, Islamabad, Islamabad 44000, Pakistan",,2022,"OP345196, OP345193, OP345190, OP345195, OP345192, OP345189, OP345194, OP345191, OP345188",57,Umair,Umair (2022)
Volynkina A.,Direct Submission," Laboratory of Natural-Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol region 355017, Russian Federation",,2015,"KR814836, KR814835, KR814834, KR814833",58,Volynkina,Volynkina (2015)
